,cascade_root_id,cascade_id,time_bucket,depth,size,max_breadth,virality,strongly_cc,size_of_scc,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
2618,4012903.0,85207.0,4034735.0,1.0,6.0,6.0,0.1666666666666666,6.0,6.0,0.1666666666666666,1.0,1.3416407864998738,5.540522967544619,1.0
82369,1999326.0,82369.0,4034725.0,5.0,3121.0,2385.0,0.0005250823618334,3121.0,3121.0,0.0003204101249599,1.2536687631027257,21.36618965067495,0.6702298983263881,0.0
51362,668181.0,51362.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
81390,1073231.0,81390.0,4034725.0,5.0,277.0,211.0,0.0063307696332339,277.0,277.0,0.003610108303249,1.2322274881516588,6.367775011818038,0.7794498446553101,0.0
1839,4008321.0,84428.0,4034735.0,2.0,5.0,3.0,0.4,5.0,5.0,0.2,1.6666666666666667,1.0458250331675945,2.182194962916104,1.0
63613,697895.0,63613.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
65221,704052.0,65221.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
55526,676971.0,55526.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
67909,717215.0,67909.0,4034725.0,1.0,6.0,6.0,0.1666666666666666,6.0,6.0,0.1666666666666666,1.0,1.3416407864998738,5.540522967544619,0.0
68111,718451.0,68111.0,4034725.0,1.0,6.0,6.0,0.1666666666666666,6.0,6.0,0.1666666666666666,1.0,1.3416407864998738,5.540522967544619,0.0
61582,691576.0,61582.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
81333,1058036.0,81333.0,4034725.0,4.0,268.0,138.0,0.0096567723181843,268.0,268.0,0.003731343283582,1.5942028985507246,4.442373867158723,1.0346088651804384,0.0
79431,856480.0,79431.0,4034725.0,4.0,33.0,27.0,0.0539772727272727,33.0,33.0,0.0303030303030303,1.1111111111111112,2.421824596249696,1.1298540002386397,0.0
62876,695601.0,62876.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
61196,690375.0,61196.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
68742,722688.0,68742.0,4034725.0,1.0,7.0,7.0,0.1428571428571428,7.0,7.0,0.1428571428571428,1.0,1.4288690166235205,6.566261104483427,0.0
65686,705962.0,65686.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
79958,883916.0,79958.0,4034725.0,4.0,52.0,32.0,0.0674962292609351,52.0,52.0,0.0192307692307692,5.0,1.966853352623587,1.0602471403703562,0.0
74094,755605.0,74094.0,4034725.0,2.0,9.0,8.0,0.1388888888888889,9.0,9.0,0.1111111111111111,1.125,1.4523687548277813,0.9135735523927536,0.0
54465,674731.0,54465.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
55776,677498.0,55776.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
70938,734381.0,70938.0,4034725.0,2.0,4.0,3.0,0.4166666666666667,4.0,4.0,0.25,1.3333333333333333,1.0540925533894598,1.4409334564364835,0.0
5459,4020767.0,88048.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
2535,4012359.0,85124.0,4034735.0,1.0,7.0,7.0,0.1428571428571428,7.0,7.0,0.1428571428571428,1.0,1.4288690166235205,6.566261104483427,1.0
3976,4017636.0,86565.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
3292,4015733.0,85881.0,4034735.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,1.0
81324,1055775.0,81324.0,4034725.0,2.0,301.0,289.0,0.0035880398671096,301.0,301.0,0.0033222591362126,1.041522491349481,8.344639330465732,0.6254791431508847,0.0
77029,791731.0,77029.0,4034725.0,2.0,24.0,23.0,0.0452898550724637,24.0,24.0,0.0416666666666666,1.0434782608695652,2.4050985540764054,0.6308927237407795,0.0
52206,669963.0,52206.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
68403,720278.0,68403.0,4034725.0,1.0,7.0,7.0,0.1428571428571428,7.0,7.0,0.1428571428571428,1.0,1.4288690166235205,6.566261104483427,0.0
60423,687971.0,60423.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
52134,669811.0,52134.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
73171,748104.0,73171.0,4034725.0,2.0,7.0,6.0,0.1904761904761904,7.0,7.0,0.1428571428571428,1.1666666666666667,1.2856040517117926,1.0246281744283177,0.0
3013,4014787.0,85602.0,4034735.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,1.0
71960,740328.0,71960.0,4034725.0,2.0,5.0,4.0,0.3,5.0,5.0,0.2,1.25,1.118033988749895,1.2430425572334347,0.0
82289,1792257.0,82289.0,4034725.0,5.0,2286.0,2066.0,0.0005494389787709,2286.0,2286.0,0.000437445319335,1.0885769603097772,21.61207496857108,0.0,0.0
72386,742510.0,72386.0,4034725.0,2.0,6.0,4.0,0.4333333333333333,6.0,6.0,0.1666666666666666,3.0,1.3416407864998738,4.943123862735165,0.0
