param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,rank_test_average_precision_score
gbdt,0.01,16,8,1.0,1.0,0.7,261
gbdt,0.01,16,8,1.0,1.0,0.75,261
gbdt,0.01,16,8,1.0,1.2,0.7,261
gbdt,0.01,16,8,1.0,1.4,0.7,261
gbdt,0.01,16,8,1.2,1.0,0.75,261
gbdt,0.01,16,8,1.2,1.2,0.75,261
gbdt,0.01,16,8,1.2,1.4,0.7,261
gbdt,0.01,16,8,1.2,1.4,0.75,261
gbdt,0.01,16,8,1.2,1.0,0.7,261
gbdt,0.01,16,8,1.2,1.2,0.7,261
gbdt,0.005,24,8,1.2,1.0,0.7,273
gbdt,0.005,24,8,1.2,1.0,0.75,273
gbdt,0.005,24,8,1.0,1.0,0.75,273
gbdt,0.005,24,8,1.2,1.2,0.7,273
gbdt,0.005,24,8,1.2,1.4,0.7,273
gbdt,0.005,24,8,1.2,1.4,0.75,273
dart,0.01,24,8,1.2,1.0,0.7,273
dart,0.01,24,8,1.0,1.4,0.75,273
dart,0.005,16,8,1.0,1.0,0.75,273
gbdt,0.005,24,8,1.2,1.2,0.75,273
gbdt,0.005,24,8,1.0,1.4,0.75,273
gbdt,0.005,24,8,1.0,1.0,0.7,273
gbdt,0.005,24,8,1.0,1.2,0.7,273
dart,0.01,24,8,1.2,1.2,0.7,273
dart,0.01,24,8,1.2,1.0,0.75,273
dart,0.01,24,8,1.0,1.2,0.75,273
dart,0.01,24,8,1.2,1.2,0.75,273
dart,0.01,24,8,1.2,1.4,0.7,273
dart,0.005,16,8,1.0,1.0,0.7,273
gbdt,0.005,24,8,1.0,1.4,0.7,273
dart,0.01,24,8,1.2,1.4,0.75,273
dart,0.01,24,8,1.0,1.4,0.7,273
gbdt,0.005,24,8,1.0,1.2,0.75,273
dart,0.01,16,8,1.2,1.2,0.75,273
dart,0.01,16,8,1.2,1.0,0.75,273
dart,0.01,8,8,1.2,1.0,0.75,273
dart,0.01,8,8,1.2,1.0,0.7,273
dart,0.01,16,8,1.0,1.0,0.75,273
dart,0.01,16,8,1.0,1.0,0.7,273
dart,0.01,8,8,1.0,1.2,0.75,273
dart,0.01,8,8,1.0,1.0,0.75,273
dart,0.01,16,8,1.2,1.4,0.7,273
dart,0.01,16,8,1.2,1.0,0.7,273
dart,0.01,16,8,1.0,1.2,0.7,273
dart,0.01,16,8,1.0,1.2,0.75,273
dart,0.01,16,8,1.0,1.4,0.7,273
dart,0.01,16,8,1.0,1.4,0.75,273
dart,0.01,8,8,1.0,1.2,0.7,273
dart,0.01,16,8,1.2,1.4,0.75,273
dart,0.01,16,8,1.2,1.2,0.7,273
dart,0.01,24,8,1.0,1.2,0.7,273
dart,0.01,8,8,1.0,1.0,0.7,273
dart,0.001,24,8,1.2,1.4,0.7,315
dart,0.005,8,8,1.0,1.4,0.7,315
gbdt,0.005,8,8,1.0,1.2,0.7,315
gbdt,0.001,16,8,1.0,1.2,0.75,315
dart,0.001,24,8,1.2,1.0,0.75,315
gbdt,0.001,16,8,1.2,1.2,0.75,315
dart,0.001,24,8,1.0,1.4,0.7,315
dart,0.001,24,8,1.2,1.2,0.75,315
dart,0.001,24,8,1.0,1.4,0.75,315
dart,0.005,8,8,1.0,1.4,0.75,315
dart,0.001,24,8,1.2,1.0,0.7,315
dart,0.005,8,8,1.2,1.0,0.7,315
dart,0.005,8,8,1.0,1.2,0.7,315
dart,0.005,8,8,1.2,1.0,0.75,315
dart,0.001,24,8,1.0,1.2,0.75,315
dart,0.005,8,8,1.2,1.2,0.7,315
gbdt,0.005,8,8,1.0,1.2,0.75,315
dart,0.001,24,8,1.2,1.2,0.7,315
gbdt,0.001,8,8,1.2,1.2,0.75,315
gbdt,0.001,8,8,1.2,1.0,0.7,315
gbdt,0.005,8,8,1.0,1.4,0.7,315
dart,0.005,8,8,1.2,1.2,0.75,315
gbdt,0.001,16,8,1.2,1.4,0.7,315
gbdt,0.005,8,8,1.2,1.4,0.75,315
gbdt,0.001,8,8,1.0,1.0,0.7,315
gbdt,0.001,8,8,1.0,1.0,0.75,315
gbdt,0.001,8,8,1.0,1.2,0.7,315
gbdt,0.001,8,8,1.0,1.2,0.75,315
gbdt,0.001,8,8,1.0,1.4,0.7,315
gbdt,0.001,8,8,1.2,1.4,0.7,315
gbdt,0.001,8,8,1.2,1.4,0.75,315
gbdt,0.001,8,8,1.2,1.0,0.75,315
gbdt,0.005,8,8,1.2,1.4,0.7,315
gbdt,0.001,8,8,1.2,1.2,0.7,315
gbdt,0.005,8,8,1.2,1.2,0.75,315
gbdt,0.005,8,8,1.2,1.2,0.7,315
gbdt,0.005,8,8,1.2,1.0,0.75,315
gbdt,0.005,8,8,1.2,1.0,0.7,315
gbdt,0.005,8,8,1.0,1.4,0.75,315
gbdt,0.001,8,8,1.0,1.4,0.75,315
dart,0.005,8,8,1.2,1.4,0.7,315
dart,0.001,16,8,1.2,1.2,0.7,315
dart,0.005,8,8,1.2,1.4,0.75,315
gbdt,0.001,24,8,1.0,1.0,0.7,315
dart,0.001,16,8,1.2,1.0,0.75,315
dart,0.001,16,8,1.2,1.0,0.7,315
gbdt,0.001,24,8,1.2,1.4,0.7,315
gbdt,0.001,24,8,1.2,1.2,0.75,315
dart,0.001,16,8,1.2,1.4,0.75,315
dart,0.001,16,8,1.2,1.4,0.7,315
dart,0.001,16,8,1.2,1.2,0.75,315
dart,0.001,16,8,1.0,1.4,0.75,315
dart,0.001,16,8,1.0,1.4,0.7,315
dart,0.001,16,8,1.0,1.2,0.75,315
dart,0.001,24,8,1.0,1.0,0.7,315
dart,0.001,24,8,1.0,1.0,0.75,315
dart,0.001,16,8,1.0,1.2,0.7,315
dart,0.001,16,8,1.0,1.0,0.75,315
dart,0.001,16,8,1.0,1.0,0.7,315
gbdt,0.001,24,8,1.2,1.4,0.75,315
gbdt,0.001,16,8,1.2,1.4,0.75,315
gbdt,0.001,16,8,1.2,1.2,0.7,315
dart,0.001,24,8,1.0,1.2,0.7,315
gbdt,0.001,16,8,1.2,1.0,0.7,315
dart,0.005,8,8,1.0,1.2,0.75,315
dart,0.005,8,8,1.0,1.0,0.75,315
gbdt,0.001,16,8,1.0,1.0,0.7,315
gbdt,0.001,24,8,1.2,1.2,0.7,315
gbdt,0.001,24,8,1.0,1.0,0.75,315
gbdt,0.001,24,8,1.0,1.2,0.7,315
