,cascade_root_id,category,depth,size,max_breadth,virality,strongly_cc,weakly_cc,size_of_scc,avg_cluster_coef,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
1492,1243324360523493378,non_covid_false,3.0,819.0,527.0,0.0057154201408480135,819.0,1.0,819.0,0.0,0.001221001221001221,2.8076923076923075,4.5748868055832315,6.87754359319156,0.0
1493,1242929614344859649,non_covid_false,2.0,119.0,98.0,0.011394388263780088,119.0,1.0,119.0,0.0,0.008403361344537815,1.2142857142857142,4.530360571307926,1.142650412387378,0.0
1494,1242824631230308353,non_covid_false,3.0,512.0,265.0,0.008118272994129158,512.0,1.0,512.0,0.0,0.001953125,2.3980582524271843,4.4844963258561465,4.537160621657907,0.0
1495,1266460235742535682,non_covid_false,1.0,17.0,17.0,0.058823529411764705,17.0,1.0,17.0,0.0,0.058823529411764705,1.0,2.125,16.661665724952673,0.0
1496,1224723590634860544,non_covid_false,1.0,2.0,2.0,0.5,2.0,1.0,2.0,0.0,0.5,1.0,1.0,1.43957893271737,0.0
1497,1277659398362542089,non_covid_false,1.0,15.0,15.0,0.06666666666666667,15.0,1.0,15.0,0.0,0.06666666666666667,1.0,2.004459314343183,14.700218635648525,0.0
1498,1232994959910985729,non_covid_false,1.0,46.0,46.0,0.021739130434782608,46.0,1.0,46.0,0.0,0.021739130434782608,1.0,3.4286375654996775,49.99833334827604,0.0
1499,1247307311049256963,non_covid_false,2.0,66.0,49.0,0.023076923076923078,66.0,1.0,66.0,0.0,0.015151515151515152,1.346938775510204,3.188960246792252,1.4757310508646886,0.0
1500,1272039634533527554,non_covid_false,1.0,14.0,14.0,0.07142857142857142,14.0,1.0,14.0,0.0,0.07142857142857142,1.0,1.9414506867883017,13.1515590944776,0.0
1501,1234592892896923652,non_covid_false,1.0,99.0,99.0,0.010101010101010102,99.0,1.0,99.0,0.0,0.010101010101010102,1.0,5.000255095533443,83.33233488515074,0.0
1502,1241401522807885836,non_covid_false,1.0,116.0,116.0,0.008620689655172414,116.0,1.0,116.0,0.0,0.008620689655172414,1.0,5.408527887793819,124.99934636386527,0.0
1503,1270077386818596864,non_covid_false,1.0,19.0,19.0,0.05263157894736842,19.0,1.0,19.0,0.0,0.05263157894736842,1.0,2.2391714737574,17.85247547009985,0.0
1504,1234260041043193856,non_covid_false,1.0,144.0,144.0,0.006944444444444444,144.0,1.0,144.0,0.0,0.006944444444444444,1.0,6.020942472051053,124.99934636386527,0.0
1505,1283374369637650432,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1506,1277014244861652995,non_covid_false,1.0,36.0,36.0,0.027777777777777776,36.0,1.0,36.0,0.0,0.027777777777777776,1.0,3.04255531702266,35.71195172853707,0.0
1507,1224898644211576834,non_covid_false,2.0,102.0,100.0,0.01019219569015725,102.0,1.0,102.0,0.0,0.00980392156862745,1.02,4.976702905205978,0.5117267652705572,0.0
1508,1288625185223041024,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1509,1288961109295353856,non_covid_false,1.0,26.0,26.0,0.038461538461538464,26.0,1.0,26.0,0.0,0.038461538461538464,1.0,2.6,24.996665896054054,0.0
1510,1288961702890033154,non_covid_false,2.0,29.0,28.0,0.03694581280788178,29.0,1.0,29.0,0.0,0.034482758620689655,1.0357142857142858,2.651049079985091,0.591467863260498,0.0
1511,1276608207436349442,non_covid_false,3.0,252.0,142.0,0.008932523872762917,252.0,1.0,252.0,0.0,0.003968253968253968,2.3653846153846154,4.747593309025231,0.8482195091823286,0.0
1512,1224899400608161793,non_covid_false,2.0,103.0,100.0,0.010279840091376356,103.0,1.0,103.0,0.0,0.009708737864077669,1.03,4.953508381972617,0.5608834085223277,0.0
1513,1247516962957262848,non_covid_false,1.0,29.0,29.0,0.034482758620689655,29.0,1.0,29.0,0.0,0.034482758620689655,1.0,2.7402424293168974,27.774778209301584,0.0
1514,1284108416567443456,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1515,1288134999779299330,non_covid_false,2.0,103.0,101.0,0.010089472682276794,103.0,1.0,103.0,0.0,0.009708737864077669,1.0198019801980198,5.001739412938304,0.5117267652705572,0.0
1516,1276568918501490689,non_covid_false,3.0,198.0,102.0,0.016433369225247397,198.0,1.0,198.0,0.0,0.005050505050505051,1.1176470588235294,4.760533723943495,3.1617478941961163,0.0
1517,1234085982665924608,non_covid_false,1.0,108.0,108.0,0.009259259259259259,108.0,1.0,108.0,0.0,0.009259259259259259,1.0,5.220377040846584,124.99934636386527,0.0
1518,1236476017755242496,non_covid_false,1.0,13.0,13.0,0.07692307692307693,13.0,1.0,13.0,0.0,0.07692307692307693,1.0,1.8763883748662835,12.493341970952795,0.0
1519,1339559779543486464,non_covid_false,2.0,38.0,37.0,0.027738264580369845,38.0,1.0,38.0,0.0,0.02631578947368421,1.027027027027027,3.044831806596251,0.5482397495244982,0.0
1520,1284977983023980554,non_covid_false,2.0,167.0,101.0,0.010749585167015368,167.0,1.0,167.0,0.0,0.005988023952095809,1.6534653465346534,4.102400792588166,2.1408973099038344,0.0
1521,1339575588000997379,non_covid_false,1.0,24.0,24.0,0.041666666666666664,24.0,1.0,24.0,0.0,0.041666666666666664,1.0,2.502172968684897,22.72360560335461,0.0
1522,1286115231127805952,non_covid_false,1.0,11.0,11.0,0.09090909090909091,11.0,1.0,11.0,0.0,0.09090909090909091,1.0,1.7392527130926088,10.408661735720555,0.0
1523,1267489615973437441,non_covid_false,1.0,26.0,26.0,0.038461538461538464,26.0,1.0,26.0,0.0,0.038461538461538464,1.0,2.6,24.996665896054054,0.0
1524,1271642112652705792,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1525,1284294427654197248,non_covid_false,4.0,1770.0,829.0,0.0025907579691676805,1770.0,1.0,1770.0,0.0,0.0005649717514124294,8.971153846153847,4.1092607626878,1.665888936407889,0.0
1526,1273719043783090177,non_covid_false,1.0,48.0,48.0,0.020833333333333332,48.0,1.0,48.0,0.0,0.020833333333333332,1.0,3.5007597959494694,49.99833334827604,0.0
1527,1254126227071422465,non_covid_false,1.0,107.0,107.0,0.009345794392523364,107.0,1.0,107.0,0.0,0.009345794392523364,1.0,5.1963793636113635,124.99934636386527,0.0
1528,1336043886041567237,non_covid_false,2.0,105.0,99.0,0.010622710622710623,105.0,1.0,105.0,0.0,0.009523809523809525,1.0606060606060606,4.858957445339617,0.6997641283211039,0.0
1529,1267920764335984640,non_covid_false,1.0,48.0,48.0,0.020833333333333332,48.0,1.0,48.0,0.0,0.020833333333333332,1.0,3.5007597959494694,49.99833334827604,0.0
1530,1224710896804597760,non_covid_false,1.0,11.0,11.0,0.09090909090909091,11.0,1.0,11.0,0.0,0.09090909090909091,1.0,1.7392527130926088,10.408661735720555,0.0
1531,1288071388566360064,non_covid_false,1.0,10.0,10.0,0.1,10.0,1.0,10.0,0.0,0.1,1.0,1.6666666666666665,9.606711778092896,0.0
1532,1260927217493778432,non_covid_false,1.0,3.0,3.0,0.3333333333333333,3.0,1.0,3.0,0.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
1533,1225418375519752193,non_covid_false,1.0,7.0,7.0,0.14285714285714285,7.0,1.0,7.0,0.0,0.14285714285714285,1.0,1.4288690166235205,6.566261104483427,0.0
1534,1266685722469306369,non_covid_false,4.0,942.0,531.0,0.0039868144066821445,942.0,1.0,942.0,0.0,0.0010615711252653928,5.741071428571429,4.473976615549753,1.1087637671057606,0.0
1535,1277770452702822408,non_covid_false,1.0,15.0,15.0,0.06666666666666667,15.0,1.0,15.0,0.0,0.06666666666666667,1.0,2.004459314343183,14.700218635648525,0.0
1536,1277770092693028868,non_covid_false,1.0,2.0,2.0,0.5,2.0,1.0,2.0,0.0,0.5,1.0,1.0,1.43957893271737,0.0
1537,1247887517530984450,non_covid_false,1.0,8.0,8.0,0.125,8.0,1.0,8.0,0.0,0.125,1.0,1.511857892036909,7.56474452887877,0.0
1538,1246422304281812993,non_covid_false,3.0,260.0,150.0,0.009043659043659044,260.0,1.0,260.0,0.0,0.0038461538461538464,2.5,4.471885944137864,0.9847082751701176,0.0
1539,1285329628836573184,non_covid_false,1.0,11.0,11.0,0.09090909090909091,11.0,1.0,11.0,0.0,0.09090909090909091,1.0,1.7392527130926088,10.408661735720555,0.0
1540,1278797788344733696,non_covid_false,1.0,7.0,7.0,0.14285714285714285,7.0,1.0,7.0,0.0,0.14285714285714285,1.0,1.4288690166235205,6.566261104483427,0.0
1541,1278754946016575488,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1542,1285091104941936644,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1543,1254602531180892162,non_covid_false,1.0,29.0,29.0,0.034482758620689655,29.0,1.0,29.0,0.0,0.034482758620689655,1.0,2.7402424293168974,27.774778209301584,0.0
